Name,Bib,Team,Nationality,TeamCode,TimeBack1,Position1,SecBack1,TimeBack2,Position2,SecBack2,TimeBack3,Position3,SecBack3,TimeBack4,Position4,SecBack4,TimeBack5,Position5,SecBack5,TimeBack6,Position6,SecBack6,TimeBack7,Position7,SecBack7,TimeBack8,Position8,SecBack8,TimeBack9,Position9,SecBack9,TimeBack10,Position10,SecBack10,TimeBack11,Position11,SecBack11,TimeBack12,Position12,SecBack12,TimeBack13,Position13,SecBack13,TimeBack14,Position14,SecBack14,TimeBack15,Position15,SecBack15,TimeBack16,Position16,SecBack16,TimeBack17,Position17,SecBack17,TimeBack18,Position18,SecBack18,TimeBack19,Position19,SecBack19,TimeBack20,Position20,SecBack20,TimeBack21,Position21,SecBack21
BAGOT Yoann,132,COFIDIS,France,6,+ 00' 00'',121,0,+ 12' 44'',128,764,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600,Abandoned,198,-600
KASHECHKIN Andrey,66,ASTANA PRO TEAM,Kazakhstan,2,+ 00' 00'',16,0,+ 00' 01'',31,1,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600,Abandoned,197,-600
KING Edward,14,CANNONDALE,USA,5,+ 00' 00'',198,0,+ 17' 35'',194,1055,+ 26' 50'',189,1610,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600,Time Cut,196,-600
BOUHANNI Nacer,73,FDJ.FR,France,8,+ 00' 00'',88,0,+ 17' 35'',168,1055,+ 34' 19'',196,2059,+ 35' 00'',194,2100,+ 35' 00'',173,2100,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600,Abandoned,195,-600
BOUET Maxime,83,AG2R LA MONDIALE,France,1,+ 00' 00'',113,0,+ 00' 01'',62,1,+ 00' 01'',34,1,+ 01' 04'',57,64,+ 01' 04'',54,64,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600,Abandoned,194,-600
KESSIAKOFF Fredrik,67,ASTANA PRO TEAM,Sweden,2,+ 00' 00'',135,0,+ 00' 01'',79,1,+ 00' 01'',51,1,+ 00' 56'',53,56,+ 00' 56'',49,56,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600,Abandoned,193,-600
VAN DEN BROECK Jurgen,21,LOTTO-BELISOL,Belgium,12,+ 00' 00'',31,0,+ 00' 01'',13,1,+ 00' 01'',12,1,+ 00' 17'',14,17,+ 00' 17'',13,17,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600,Abandoned,192,-600
MALORI Adriano,146,LAMPRE - MERIDA,Italy,11,+ 00' 00'',149,0,+ 17' 35'',185,1055,+ 26' 50'',186,1610,+ 27' 14'',166,1634,+ 37' 22'',180,2242,+ 42' 40'',184,2560,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600,Abandoned,191,-600
VANDE VELDE Christian,179,GARMIN - SHARP,USA,9,+ 00' 00'',38,0,+ 00' 01'',36,1,+ 00' 01'',30,1,+ 00' 17'',17,17,+ 10' 25'',96,625,+ 15' 43'',105,943,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600,Abandoned,190,-600
BRAJKOVIC Janez,61,ASTANA PRO TEAM,Slovenia,2,+ 00' 00'',185,0,+ 00' 01'',89,1,+ 00' 01'',64,1,+ 00' 56'',54,56,+ 00' 56'',50,56,+ 11' 44'',90,704,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600,Abandoned,189,-600
BONO Matteo,142,LAMPRE - MERIDA,Italy,11,+ 00' 00'',184,0,+ 05' 39'',112,339,+ 14' 54'',119,894,+ 16' 09'',119,969,+ 16' 09'',117,969,+ 17' 11'',108,1031,+ 32' 04'',122,1924,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600,Abandoned,188,-600
NOVAL GONZALEZ Benjamin,95,TEAM SAXO-TINKOFF,Spain,21,+ 00' 00'',95,0,+ 17' 35'',164,1055,+ 26' 01'',155,1561,+ 30' 31'',193,1831,+ 40' 39'',194,2439,+ 44' 37'',188,2677,+ 59' 30'',185,3570,+ 01h 28' 34'',182,5314,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600,Abandoned,187,-600
